Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Timothy J. Walz,Q2434360,,,,Representative,,MN
Person,Debbie Wasserman Schultz,Q50104,,,,Representative,,FL
Person,Maxine Waters,Q461727,,,,Representative,,CA
Person,Daniel Webster,Q106231,,,,Representative,,FL
Person,Peter Welch,Q1112656,,,,Representative,,VT
Person,Joe Wilson,Q928855,,,,Representative,,SC
Person,Frederica S. Wilson,Q461504,,,,Representative,,FL
Person,Robert J. Wittman,Q541251,,,,Representative,,VA
Person,Steve Womack,Q1029527,,,,Representative,,AR
Person,Rob Woodall,Q2156128,,,,Representative,,GA
Person,Ron Wyden,Q529344,,,,Senator,,OR
Person,John A. Yarmuth,Q699970,,,,Representative,,KY
Person,Kevin Yoder,Q187037,,,,Representative,,KS
Person,Don Young,Q1239590,,,,Representative,,AK
Person,Todd Young,Q25483,,,,Senator,,IN
Person,Dean Heller,Q251763,,,,Senator,,NV
Person,Mark E. Amodei,Q23944,,,,Representative,,NV
Person,Suzanne Bonamici,Q45946,,,,Representative,,OR
Person,Suzan K. DelBene,Q2091892,,,,Representative,,WA
Person,Thomas Massie,Q2426031,,,,Representative,,KY
Person,"Donald M. Payne, Jr.",Q1240224,,,,Representative,,NJ
Person,Brian Schatz,Q1827902,,,,Senator,,HI
Person,Bill Foster,Q3639970,,,,Representative,,IL
Person,Dina Titus,Q524440,,,,Representative,,NV
Person,Tom Cotton,Q3090307,,,,Senator,,AR
Person,Kyrsten Sinema,Q1556541,,,,Representative,,AZ
Person,Doug LaMalfa,Q1703840,,,,Representative,,CA
Person,Jared Huffman,Q3276717,,,,Representative,,CA
Person,Ami Bera,Q3389105,,,,Representative,,CA
Person,Paul Cook,Q363260,,,,Representative,,CA
Person,Eric Swalwell,Q3466996,,,,Representative,,CA
Person,David G. Valadao,Q3528567,,,,Representative,,CA
Person,Julia Brownley,Q3577073,,,,Representative,,CA
Person,Tony Cárdenas,Q3620422,,,,Representative,,CA
Person,Raul Ruiz,Q3701994,,,,Representative,,CA
Person,Mark Takano,Q399593,,,,Representative,,CA
Person,Alan S. Lowenthal,Q3740782,,,,Representative,,CA
Person,Juan Vargas,Q3791701,,,,Representative,,CA
Person,Scott H. Peters,Q3791514,,,,Representative,,CA
Person,Elizabeth H. Esty,Q3090454,,,,Representative,,CT
Person,Ted S. Yoho,Q3090476,,,,Representative,,FL
Person,Ron DeSantis,Q3105215,,,,Representative,,FL
Person,Lois Frankel,Q3182451,,,,Representative,,FL
Person,Doug Collins,Q5300373,,,,Representative,,GA
Person,Tulsi Gabbard,Q32620,,,,Representative,,HI
Person,Tammy Duckworth,Q3036410,,,,Senator,,IL
Person,Rodney Davis,Q7356899,,,,Representative,,IL
Person,Cheri Bustos,Q723148,,,,Representative,,IL
Person,Jackie Walorski,Q3157413,,,,Representative,,IN
Person,Susan W. Brooks,Q3225324,,,,Representative,,IN
Person,Luke Messer,Q3225316,,,,Representative,,IN
Person,Andy Barr,Q4760399,,,,Representative,,KY
Person,Elizabeth Warren,Q434706,,,,Senator,,MA
Person,Joseph P. Kennedy III,Q1707784,,,,Representative,,MA
Person,John K. Delaney,Q2688821,,,,Representative,,MD
Person,"Angus S. King, Jr.",Q544464,,,,Senator,,ME
Person,Daniel T. Kildee,Q3880272,,,,Representative,,MI
Person,Richard M. Nolan,Q2151594,,,,Representative,,MN
Person,Ann Wagner,Q3917251,,,,Representative,,MO
Person,Steve Daines,Q3200900,,,,Senator,,MT
Person,Richard Hudson,Q7326584,,,,Representative,,NC
Person,Robert Pittenger,Q3956848,,,,Representative,,NC
Person,Mark Meadows,Q11775860,,,,Representative,,NC
Person,George Holding,Q3956828,,,,Representative,,NC
Person,Heidi Heitkamp,Q50597,,,,Senator,,ND
Person,Kevin Cramer,Q3957020,,,,Representative,,ND
Person,Deb Fischer,Q2580649,,,,Senator,,NE
Person,Ann M. Kuster,Q3917208,,,,Representative,,NH
Person,Michelle Lujan Grisham,Q3917203,,,,Representative,,NM
Person,Grace Meng,Q5591303,,,,Representative,,NY
Person,Hakeem S. Jeffries,Q5640425,,,,Representative,,NY
Person,Sean Patrick Maloney,Q2262244,,,,Representative,,NY
Person,Chris Collins,Q5106217,,,,Representative,,NY
Person,Brad R. Wenstrup,Q892413,,,,Representative,,OH
Person,Joyce Beatty,Q976417,,,,Representative,,OH
Person,David P. Joyce,Q5235771,,,,Representative,,OH
Person,Jim Bridenstine,Q3601035,,,,Representative,,OK
Person,Markwayne Mullin,Q3448772,,,,Representative,,OK
Person,Scott Perry,Q7437034,,,,Representative,,PA
Person,Keith J. Rothfus,Q5978897,,,,Representative,,PA
Person,Matt Cartwright,Q4111531,,,,Representative,,PA
Person,Tom Rice,Q3956858,,,,Representative,,SC
Person,Ted Cruz,Q2036942,,,,Senator,,TX
Person,"Randy K. Weber, Sr.",Q556404,,,,Representative,,TX
Person,Beto O'Rourke,Q4014532,,,,Representative,,TX
Person,Joaquin Castro,Q1167934,,,,Representative,,TX
Person,Roger Williams,Q391591,,,,Representative,,TX
Person,Marc A. Veasey,Q4068811,,,,Representative,,TX
Person,Filemon Vela,Q4069225,,,,Representative,,TX
Person,Chris Stewart,Q1077768,,,,Representative,,UT
Person,Tim Kaine,Q359888,,,,Senator,,VA
Person,Derek Kilmer,Q4068828,,,,Representative,,WA
Person,Denny Heck,Q4068793,,,,Representative,,WA
Person,Mark Pocan,Q1900355,,,,Representative,,WI
Person,Robin L. Kelly,Q3437091,,,,Representative,,IL
Person,Mark Sanford,Q11669,,,,Representative,,SC
Person,Jason Smith,Q1683991,,,,Representative,,MO
Person,Cory A. Booker,Q1135767,,,,Senator,,NJ
Person,Katherine M. Clark,Q6376330,,,,Representative,,MA
Person,Bradley Byrne,Q4954892,,,,Representative,,AL
Person,Dave Brat,Q17160419,,,,Representative,,VA
Person,Donald Norcross,Q5294942,,,,Representative,,NJ
Person,Alma S. Adams,Q4733597,,,,Representative,,NC
Person,Gary J. Palmer,Q17386504,,,,Representative,,AL
Person,J. French Hill,Q18631366,,,,Representative,,AR
Person,Bruce Westerman,Q16197421,,,,Representative,,AR
Person,Martha McSally,Q6774492,,,,Representative,,AZ
Person,Ruben Gallego,Q16218474,,,,Representative,,AZ
Person,Mark DeSaulnier,Q6767311,,,,Representative,,CA
Person,Stephen Knight,Q7613060,,,,Representative,,CA
Person,Pete Aguilar,Q7171821,,,,Representative,,CA
Person,Ted Lieu,Q7693450,,,,Representative,,CA
Person,Norma J. Torres,Q3343727,,,,Representative,,CA
Person,Mimi Walters,Q6862199,,,,Representative,,CA
Person,Ken Buck,Q1439421,,,,Representative,,CO
Person,Carlos Curbelo,Q18914103,,,,Representative,,FL
Person,"Earl L. ""Buddy"" Carter",Q16240994,,,,Representative,,GA
Person,Jody B. Hice,Q6208081,,,,Representative,,GA
Person,Barry Loudermilk,Q16731643,,,,Representative,,GA
Person,Rick W. Allen,Q18683976,,,,Representative,,GA
Person,Rod Blum,Q18684853,,,,Representative,,IA
Person,David Young,Q442037,,,,Representative,,IA
Person,Mike Bost,Q6846090,,,,Representative,,IL
Person,Ralph Lee Abraham,Q973595,,,,Representative,,LA
Person,Garret Graves,Q18686454,,,,Representative,,LA
Person,Seth Moulton,Q18045052,,,,Representative,,MA
Person,Bruce Poliquin,Q4978147,,,,Representative,,ME
Person,John R. Moolenaar,Q16194212,,,,Representative,,MI
Person,Mike Bishop,Q16196834,,,,Representative,,MI
Person,David A. Trott,Q16982345,,,,Representative,,MI
Person,Debbie Dingell,Q5248232,,,,Representative,,MI
Person,Brenda L. Lawrence,Q4960712,,,,Representative,,MI
Person,Tom Emmer,Q7815723,,,,Representative,,MN
Person,Ryan K. Zinke,Q7384672,,,,Representative,,MT
Person,David Rouzer,Q5239255,,,,Representative,,NC
Person,Thomas MacArthur,Q18631218,,,,Representative,,NJ
Person,Bonnie Watson Coleman,Q4942457,,,,Representative,,NJ
Person,Lee M. Zeldin,Q16221257,,,,Representative,,NY
Person,Kathleen M. Rice,Q6376887,,,,Representative,,NY
Person,Elise M. Stefanik,Q18211057,,,,Representative,,NY
Person,John Katko,Q18619043,,,,Representative,,NY
Person,Steve Russell,Q20759843,,,,Representative,,OK
Person,Ryan A. Costello,Q18631846,,,,Representative,,PA
Person,Brendan F. Boyle,Q4960876,,,,Representative,,PA
Person,John Ratcliffe,Q11776381,,,,Representative,,TX
Person,Will Hurd,Q18639742,,,,Representative,,TX
Person,Brian Babin,Q16979824,,,,Representative,,TX
Person,Mia B. Love,Q18631846,,,,Representative,,UT
Person,"Donald S. Beyer, Jr.",Q3036086,,,,Representative,,VA
Person,Barbara Comstock,Q4858820,,,,Representative,,VA
Person,Stacey E. Plaskett,Q18739104,,,,Representative,,VI
Person,Dan Newhouse,Q16733285,,,,Representative,,WA
Person,Glenn Grothman,Q5568836,,,,Representative,,WI
Person,Alexander X. Mooney,Q4718026,,,,Representative,,WV
Person,Evan H. Jenkins,Q11044698,,,,Representative,,WV
Person,Aumua Amata Coleman Radewagen,Q18684027,,,,Representative,,AS
Person,Daniel Sullivan,Q5218865,,,,Senator,,AK
Person,David Perdue,Q17402717,,,,Senator,,GA
Person,Joni Ernst,Q13475242,,,,Senator,,IA
Person,Thom Tillis,Q7786750,,,,Senator,,NC
Person,Mike Rounds,Q722503,,,,Senator,,SD
Person,Mark Walker,Q16876455,,,,Representative,,NC
Person,Ben Sasse,Q16192221,,,,Senator,,NE
Person,"Daniel M. Donovan, Jr.",Q5216988,,,,Representative,,NY
Person,Trent Kelly,Q20204915,,,,Representative,,MS
Person,Darin LaHood,Q5222780,,,,Representative,,IL
Person,Warren Davidson,Q24458117,,,,Representative,,OH
Person,Colleen Hanabusa,Q276359,,,,Representative,,HI
Person,James Comer,Q6131600,,,,Representative,,KY
Person,Dwight Evans,Q5318152,,,,Representative,,PA
Person,Kamala D. Harris,Q10853588,,,,Senator,,CA
Person,John Kennedy,Q6250211,,,,Senator,,LA
Person,Margaret Wood Hassan,Q24053,,,,Senator,,NH
Person,Catherine Cortez Masto,Q5052604,,,,Senator,,NV
Person,Bradley Scott Schneider,Q2923426,,,,Representative,,IL
Person,Carol Shea-Porter,Q434112,,,,Representative,,NH
Person,Tom O'Halleran,Q7817086,,,,Representative,,AZ
Person,Andy Biggs,Q4760435,,,,Representative,,AZ
Person,Ro Khanna,Q7339221,,,,Representative,,CA
Person,Jimmy Panetta,Q27733776,,,,Representative,,CA
Person,Salud O. Carbajal,Q27805429,,,,Representative,,CA
Person,Nanette Diaz Barragán,Q21662745,,,,Representative,,CA
Person,J. Luis Correa,Q6685454,,,,Representative,,CA
Person,Lisa Blunt Rochester,Q26899141,,,,Representative,,DE
Person,Matt Gaetz,Q16221742,,,,Representative,,FL
Person,Neal P. Dunn,Q27733851,,,,Representative,,FL
Person,John H. Rutherford,Q529349,,,,Representative,,FL
Person,"Al Lawson, Jr.",Q4723052,,,,Representative,,FL
Person,Stephanie N. Murphy,Q27804538,,,,Representative,,FL
Person,Darren Soto,Q5225162,,,,Representative,,FL
Person,Val Butler Demings,Q2517229,,,,Representative,,FL
Person,Charlie Crist,Q374693,,,,Representative,,FL
Person,Brian J. Mast,Q27733854,,,,Representative,,FL
Person,Francis Rooney,Q5482337,,,,Representative,,FL
Person,A. Drew Ferguson IV,Q5307173,,,,Representative,,GA
Person,Raja Krishnamoorthi,Q7285471,,,,Representative,,IL
Person,Jim Banks,Q16146788,,,,Representative,,IN
Person,Trey Hollingsworth,Q27804536,,,,Representative,,IN
Person,Roger W. Marshall,Q27943467,,,,Representative,,KS
Person,Clay Higgins,Q25849505,,,,Representative,,LA
Person,Mike Johnson,Q19880665,,,,Representative,,LA
Person,Anthony G. Brown,Q4772558,,,,Representative,,MD
Person,Jamie Raskin,Q640835,,,,Representative,,MD
Person,Jack Bergman,Q6262116,,,,Representative,,MI
Person,Paul Mitchell,Q7152552,,,,Representative,,MI
Person,Jason Lewis,Q1683937,,,,Representative,,MN
Person,Ted Budd,Q27733792,,,,Representative,,NC
Person,Don Bacon,Q19757583,,,,Representative,,NE
Person,Josh Gottheimer,Q6288908,,,,Representative,,NJ
Person,Jacky Rosen,Q27825033,,,,Representative,,NV
Person,Ruben Kihuen,Q7375978,,,,Representative,,NV
Person,Thomas R. Suozzi,Q7794276,,,,Representative,,NY
Person,Adriano Espaillat,Q4685569,,,,Representative,,NY
Person,John J. Faso,Q5856885,,,,Representative,,NY
Person,Claudia Tenney,Q5129263,,,,Representative,,NY
Person,Brian K. Fitzpatrick,Q912161,,,,Representative,,PA
Person,Lloyd Smucker,Q6662742,,,,Representative,,PA
Person,Jenniffer González-Colón,Q16215793,,,,Representative,,PR
Person,David Kustoff,Q26923148,,,,Representative,,TN
Person,Vicente Gonzalez,Q5946897,,,,Representative,,TX
Person,Jodey C. Arrington,Q6207815,,,,Representative,,TX
Person,Scott Taylor,Q7437353,,,,Representative,,VA
Person,A. Donald McEachin,Q4647699,,,,Representative,,VA
Person,"Thomas A. Garrett, Jr.",Q16213961,,,,Representative,,VA
Person,Pramila Jayapal,Q18978140,,,,Representative,,WA
Person,Mike Gallagher,Q27842981,,,,Representative,,WI
Person,Liz Cheney,Q5362573,,,,Representative,,WY
Political Organization,"Donald Trump presidential campaign, 2016",Q20121517,,,,,,
Private Sector Company,Goldman Sachs,Q193326,,,,,,
Government Organization,United States Navy,Q11220,,,,,,
Private University,George Washington University,Q432637,,,,,,
Private Sector Company,ExxonMobil,Q156238,,,,,,
Private Sector Company,Sullivan & Cromwell,Q3069699,,,,,,
Senate Committee,SCNC,,United States Senate Caucus on International Narcotics Control,,,,,
Senate Committee,SLET,,Senate Select Committee on Ethics,,,,,
Senate Committee,SLIA,,Senate Committee on Indian Affairs,,,,,
Senate Committee,SPAG,,Senate Special Committee on Aging,,,,,
Senate Committee,SSAP,,Senate Committee on Appropriations,,,,,
Senate Committee,SSAF,,"Senate Committee on Agriculture, Nutrition, and Forestry",,,,,
Senate Committee,SSAS,,Senate Committee on Armed Services,,,,,
Senate Committee,SSBK,,"Senate Committee on Banking, Housing, and Urban Affairs",,,,,
Senate Committee,SSBU,,Senate Committee on the Budget,,,,,
Senate Committee,SSCM,,"Senate Committee on Commerce, Science, and Transportation",,,,,
Senate Committee,SSEG,,Senate Committee on Energy and Natural Resources,,,,,
Senate Committee,SSEV,,Senate Committee on Environment and Public Works,,,,,
Senate Committee,SSFI,,Senate Committee on Finance,,,,,
Senate Committee,SSFR,,Senate Committee on Foreign Relations,,,,,
Senate Committee,SSHR,,"Senate Committee on Health, Education, Labor, and Pensions",,,,,
Senate Committee,SSGA,,Senate Committee on Homeland Security and Governmental Affairs,,,,,
Senate Committee,SSJU,,Senate Committee on the Judiciary,,,,,
Senate Committee,SSRA,,Senate Committee on Rules and Administration,,,,,
Senate Committee,SSSB,,Senate Committee on Small Business and Entrepreneurship,,,,,
Senate Committee,SSVA,,Senate Committee on Veterans' Affairs,,,,,
Senate Committee,SLIN,,Senate Select Committee on Intelligence,,,,,
Cabinet Position,Secretary of State,,,,,,,
Cabinet Position,Secretary of Commerce,,,,,,,
Cabinet Position,Secretary of Defense,,,,,,,
Cabinet Position,Secretary of Education,,,,,,,
Cabinet Position,Secretary of Energy,,,,,,,
Cabinet Position,Secretary of Health and Human Services,,,,,,,
Cabinet Position,Secretary of Homeland Security,,,,,,,
Cabinet Position,Secretary of Housing and Urban Development,,,,,,,
Cabinet Position,Attorney General,,,,,,,
Cabinet Position,Secretary of Labor,,,,,,,
Cabinet Position,Secretary of Transportation,,,,,,,
Cabinet Position,Secretary of Veterans Affairs,,,,,,,
Cabinet Position,Secretary of the Interior,,,,,,,
Cabinet Position,Secretary of the Treasury,,,,,,,
Cabinet Position,OMB Director,,,,,,,
Cabinet Position,EPA Administrator,,,,,,,
Cabinet Position,SBA Administrator,,,,,,,
Cabinet Position,CIA Director,,,,,,,
Cabinet Position,Director of National Intelligence,,,,,,,
Cabinet Position,SEC Chairman,,,,,,,
Cabinet Position,FCC Chairman,,,,,,,
Cabinet Position,FDA Commissioner,,,,,,,
House Committee,HSAG,,House Committee on Agriculture,,,,,
House Committee,HSAP,,House Committee on Appropriations,,,,,
House Committee,HSAS,,House Committee on Armed Services,,,,,
House Committee,HSBA,,House Committee on Financial Services,,,,,
House Committee,HSBU,,House Committee on the Budget,,,,,
House Committee,HSED,,House Committee on Education and the Workforce,,,,,
House Committee,HSFA,,House Committee on Foreign Affairs,,,,,
House Committee,HSGO,,House Committee on Oversight and Government Reform,,,,,
House Committee,HSHA,,House Committee on House Administration,,,,,
House Committee,HSHM,,House Committee on Homeland Security,,,,,
House Committee,HSIF,,House Committee on Energy and Commerce,,,,,
House Committee,HSII,,House Committee on Natural Resources,,,,,
House Committee,HLIG,,House Permanent Select Committee on Intelligence,,,,,
House Committee,HSJU,,House Committee on the Judiciary,,,,,
House Committee,HSPW,,House Committee on Transportation and Infrastructure,,,,,
House Committee,HSRU,,House Committee on Rules,,,,,
House Committee,HSSM,,House Committee on Small Business,,,,,
House Committee,HSSO,,House Committee on Ethics,,,,,
House Committee,HSSY,,"House Committee on Science, Space, and Technology",,,,,
House Committee,HLZI,,House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,,,,,
House Committee,HSVR,,House Committee on Veterans' Affairs,,,,,
House Committee,HSWM,,House Committee on Ways and Means,,,,,
Joint Committee,JCSE,,Commission on Security and Cooperation in Europe,,,,,
Joint Committee,JSEC,,Joint Economic Committee,,,,,
Joint Committee,JSLC,,Joint Committee on the Library,,,,,
Joint Committee,JSPR,,Joint Committee on Printing,,,,,
Joint Committee,JSTX,,Joint Committee on Taxation,,,,,
Government Organization,NASA,Q23548,National Aeronautics and Space Administration,,,,,
Private University,Hamilton College,Q3113011,,,,,,
Private University,Harvard Kennedy School,Q49127,,,,,,
Private University,Harvard University,Q13371,,,,,,
Public University,Wayne State University,Q349055,,,,,,
Public University,Florida International University,Q1065809,,,,,,
Public University,University of Houston,Q1472358,,,,,,
Private University,Bowdoin College,Q895401,,,,,,
Private University,University of Richmond School of Law,Q4005921,,,,,,
Private Sector Company,IBM,Q37156,,,,,,
Nonprofit,Trump Foundation,,,,,,,
Private Sector Company,Trump University,,,,,,,
Government Organization,Florida Attorney General,,,,,,,
Person,Pam Bondi,Q7128915,,,,Florida Attorney General,,
Private Sector Company,And Justice For All,,,,,,,
Ambassador,China,,U.S. Ambassador to China,,,,,
Ambassador,Israel,,U.S. Ambassador to Israel,,,,,
Person,Ivana Trump,Q242351,,,,,,
Person,Melania Trump,Q432473,,,,,,
Person,Marla Maples,Q2597050,,,,,,
Person,Ivanka Trump,Q239411,,,,,,
Person,Betsy McCaughey,Q4898310,,,,,,
Person,Dick DeVos,Q5272818,,,,,,
Person,Anita Thigpen Perry,Q4765651,,,,,,
Person,Candy Carson,Q20177023,,,,,,
Person,Michael Haley,Q22279202,,,,,,
Person,Vince McMahon,Q44430,,,,,,
Person,Connie Schultz,Q5161928,,,,,,
Person,Richard C. Blum,Q7324532,,,,,,
Person,John Bessler,Q6221766,,,,,,
Person,Jane O'Meara Sanders,Q20165782,,,,,,
Person,Sherrill Redmon,Q25016145,,,,,,
Person,Gayle Conelly Manchin,Q5528787,,,,,,
Person,Maya Rockeymoore,Q16975742,,,,,,
Person,Rachel Campos-Duffy,Q2267027,,,,,,
Person,Rosemary Wiedl King,Q20177036,,,,,,
Person,Clifton Maloney,Q5133272,,,,,,
Person,Cindy McCain,Q240628,,,,,,
Person,Carol McCain,Q5044466,,,,,,
Person,Brian Rodgers,Q20198267,,,,,,
Person,Kelley Paul,Q19893979,,,,,,
Person,Paul Pelosi,Q7152909,,,,,,
Person,Donald Sussman,Q16107520,,,,,,
Person,Jeanette Dousdebes Rubio,Q20176884,,,,,,
Person,Janna Little,Q27831047,,,,,,
Person,Iris Weinshall,Q6070286,,,,,,
Person,Sid Williams,Q7507951,,,,,,
Person,Caroline LeRoy,Q16466772,,,,,,
Person,Michael H. Simon,Q6830879,,,,,,
Person,Daniel C. Esty,Q3013817,,,,,,
Person,Abraham Williams,Q22810617,,,,,,
Person,Bruce Mann,Q4977945,,,,,,
Person,Jim Warren,Q27826137,,,,,,
Person,Heidi Cruz,Q20165784,,,,,,
Person,Anne Holton,Q4768453,,,,,,
Person,"John Dingell, Jr.",Q600393,,,,,,
Person,Megan Beyer,Q6808633,,,,,,
Person,Thomas Hassan,Q7790485,,,,,,
Person,Carole Crist,Q5044674,,,,,,
Person,Colette,Q218679,,,,,,
Person,Donald Trump Jr.,Q3713655,,,,,,
Person,Eric Trump,Q3731533,,,,,,
Person,Tiffany Trump,Q12071552,,,,,,
Person,Barron Trump,Q23000814,,,,,,
Person,Arabella Rose Kushner,Q23000820,,,,,,
Person,Joseph Frederick Kushner,Q23000821,,,,,,
Person,Theodore James Kushner,Q23647575,,,,,,
Person,Brett Icahn,Q16202347,,,,,,
Person,Rhoeyce Carson,Q22575806,,,,,,
Person,Murray Carson,Q22575807,,,,,,
Person,Ben Carson Jr.,Q22575808,,,,,,
Person,Stephanie McMahon,Q842633,,,,,,
Person,Shane McMahon,Q861110,,,,,,
Person,Alicia Menendez,Q4726284,,,,,,
Person,Heather Bresch,Q5693758,,,,,,
Person,Matt Blunt,Q881141,,,,,,
Person,Duncan D. Hunter,Q540521,,,,,,
Person,Meghan McCain,Q461063,,,,,,
Person,James McCain,Q22810646,,,,,,
Person,John Sidney McCain IV,Q22810652,,,,,,
Person,Bridget McCain,Q22810653,,,,,,
Person,Alexandra Pelosi,Q2325554,,,,,,
Person,Christine Pelosi,Q5111145,,,,,,
Person,"Paul Pelosi, Jr.",Q7152908,,,,,,
Person,Fletcher Webster,Q5458826,,,,,,
Person,Hollie Cook,Q3139364,,,,,,
Person,Amelia Warren Tyagi,Q22673677,,,,,,
Person,Alexander Warren,Q22673686,,,,,,
Person,Lucas Babin,Q6696084,,,,,,